smiles,logP_ALOGPS,logS,logP_ChemAxon,solubility_ALOGPS,pKa_acid,pKa_base,PSA,Polarizability,H_Acceptor_Count,H_Donor_Count
CC(C)C1CCC(C)CC1=O,2.65,-2.8,3.05,2.65e-01 g/l,,-7.4,17.07,19.02,1,0
CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCC2=C(O1)C(C)=C(C)C(OC(=O)C1=CC=CN=C1)=C2C,9.13,-8.4,11.26,2.15e-06 g/l,,3.21,48.42,67.08,3,0
[K+].[O-][I](=O)=O,,,0.18,,0.85,,57.2,7.85,3,0
O=[Mo](=O)=O,,,-1.1,,,,51.21,5.15,3,0
[NH4+].OC([O-])=O,-0.2,0.97,0.25,7.32e+02 g/l,3.5,,60.36,3.86,3,1
[NH4+].[NH4+].[O-]C([O-])=O,-0.53,0.9,0.25,7.56e+02 g/l,3.5,,63.19,3.52,3,0
CCCCCOC(C)=O,2.46,-1.9,1.69,1.73e+00 g/l,,-7,26.3,15.51,1,0
O=[Bi]O[Bi]=O,,,-0.13,,,-3,43.37,7.36,2,0
CNC(=O)OC1=C2C=CC=CC2=CC=C1,2.45,-3.3,2.46,9.14e-02 g/l,14.77,,38.33,21.12,1,1
CCC1=CC2=C(C)C=CC2=C(C)C=C1,4.8,-2.9,4.95,2.24e-01 g/l,,,0,23.05,0,0
ClC1=CC=C(CN2C(CN3CCCC3)=NC3=CC=CC=C23)C=C1,4.09,-4.2,4.23,2.00e-02 g/l,,7.42,21.06,35.44,2,0
OC1=CC=C(Cl)C2=CC=CN=C12,2.72,-2.3,2.43,8.33e-01 g/l,8.37,4.01,33.12,17.03,2,1
[Fe++].[Fe++].OCC(O)COP([O-])([O-])=O.OCCC(CCO)OP([O-])([O-])=O,-0.48,-0.94,-1.8,5.55e+01 g/l,1.64,-2.4,112.88,16.68,5,2
CCN(CC)CCOC1=CC=C(C=C1)C1=NC2=CC(Cl)=CC=C2S1,5.55,-5.2,5.32,2.28e-03 g/l,,9.28,25.36,40.78,3,0
COC1=CC=C(\C=C\C(=O)C2=C(OC)C=C(O[C@@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)C=C2O)C=C1O,0.28,-2.9,0.32,8.16e-01 g/l,7.14,-3.6,234.29,62.16,15,8
CC1(CC(=O)C2=C(C=CC=C2)C1=O)S(O)(=O)=O,-0.47,-2.1,0.87,1.86e+00 g/l,-1.5,-7.4,88.51,23.27,5,1
OC(=O)C1=NC2=C(C(O)=C1)C1=NC3=CC=CC=C3OC1=CC2=O,1.82,-3.4,-0.12,1.29e-01 g/l,0.79,6.02,109.08,29.5,7,2
CC(CC1=CC(C)=CC(=O)N1O)CC(C)(C)C,3.77,-2.8,3.19,3.51e-01 g/l,6.87,-6.4,40.54,27.69,2,1
COC(=O)C1=CC=CC=C1C(=O)C1=CC=C(OCCN2CCCCC2)C=C1,3.94,-4.5,4.15,1.28e-02 g/l,,8.63,55.84,41.18,4,0
[K+].[K+].OCC(O)COP([O-])([O-])=O,-1.5,-0.52,-2,7.46e+01 g/l,1.51,-3,112.88,12.93,5,2
[H][C@]12CN3CCC4=C(NC5=CC=CC=C45)[C@]3([H])C[C@]1([H])C(=CO[C@H]2C)C(=O)OC,3.41,-3.5,2.55,1.02e-01 g/l,16.37,7.43,54.56,39.88,3,1
[Na+].[H][C@]12CC[C@@](CS([O-])(=O)=O)(C(=O)C1)C2(C)C,1.57,-1.7,0.98,4.91e+00 g/l,-0.81,-7.5,74.27,59.55,4,0
[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2NC3=CC4=NC5=CC(=CC=C5NC4=CC3=NC2=C1)S([O-])(=O)=O,1.22,-3.8,1.87,8.69e-02 g/l,-2.7,5.92,163.18,42.83,10,2
[Na+].[O-][N+]([O-])=O,,,0.84,,,-9.9,66.2,3.28,3,0
CCCCCCCCCCCCCCCCCCO,8.27,-6.7,7.03,5.22e-05 g/l,16.84,-2,20.23,38.65,1,1
[H][C@]12C[C@@]3([H])C4=CCO[C@@]5([H])CC(=O)N6C7=CC=CC=C7[C@@]1(CCN2C4)[C@]6([H])[C@@]35[H],1.68,-2.3,0.93,1.72e+00 g/l,17.24,9.27,32.78,35.9,3,0
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CCC(C)=O,6.99,-5.3,7,1.60e-03 g/l,19.6,-7.3,17.07,43.45,1,0
CC1=CCC(CC1)C(C)(C)O,3.17,-2,2.17,1.56e+00 g/l,19.4,-0.87,20.23,19.07,1,1
CC(=O)OC(C)(C)C1CCC(C)=CC1,4.32,-3.1,2.62,1.42e-01 g/l,,-7,26.3,23.06,1,0
C\C(N(CC1=C(N)N=C(C)N=C1)C=O)=C(/CCO)SS\C(CCO)=C(\C)N(CC1=C(N)N=C(C)N=C1)C=O,0.9,-3.3,-2.4,2.59e-01 g/l,15.6,6.96,184.68,56.97,10,4
[H][C@@]12CN(C[C@]1([H])[C@@H]1CC[C@H]2C1)NC(=O)C1=CC=C(Cl)C(=C1)S(N)(=O)=O,1.89,-3.6,1.13,9.99e-02 g/l,8.85,1.35,92.5,36.35,4,2
ClN1C(=O)NC(=O)N(Cl)C1=O,-1.8,-2.4,0.49,8.78e-01 g/l,5.77,,69.72,14.04,3,1
I[Zn]I,,,1.12,,,,0,12.84,0,0
F[Ca]F,1.07,-0.22,0.18,4.65e+01 g/l,,,0,2.67,0,0
NC(=O)CCCCC1CCSS1,2.3,-3.3,1.31,1.01e-01 g/l,16.45,-1.4,43.09,22.39,1,1
OC1=CC=C(\C=N\NC(=O)C2=CC3=C(C=CC=C3)C=C2O)C=C1O,3.53,-4,3.69,3.22e-02 g/l,7.77,1.47,102.15,33.34,5,4
OS(=O)(=O)CC(S)CS,-0.21,-2.4,-0.078,7.84e-01 g/l,-0.92,,54.37,17.08,3,3
CCCCOC1=CC=C(C[N+]2(C)[C@H]3CC[C@@H]2C[C@@H](C3)OC(=O)[C@H](CO)C2=CC=CC=C2)C=C1,3.41,-6.9,0.3,5.60e-05 g/l,15.14,-2.7,55.76,52.17,3,1
CN1C(CC2=C\C(=N\NC(N)=O)C(=O)C=C12)S(O)(=O)=O,-1,-2.2,-2.5,2.08e+00 g/l,-1.3,1.62,142.16,27.42,7,3
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])C[C@H](Cl)C2=CC(=O)C=C[C@]12C,2.14,-4,1.78,3.95e-02 g/l,12.58,-3.3,91.67,40.51,5,2
CN1CCN(CC1)C1CC2=CC=CC=C2SC2=C1C=C(Cl)C=C2,4.07,-5.2,4.65,2.15e-03 g/l,,7.63,6.48,38.01,2,0
,,,,,,,,,,
[H]O[C@@H]1CC[C@@]2(C)[C@@]([H])(C1)C[C@@H](O[H])[C@@]1([H])[C@]3([H])CC[C@]([H])([C@H](C)C[Se]CC(=O)N([H])CCS(=O)(=O)O[H])[C@@]3(C)[C@@H](O[H])C[C@]21[H],0.64,-3.8,-1.6,1.04e-01 g/l,-1.8,-0.14,144.16,58.69,8,5
[Na+].[Na+].[Na+].O=S1(=O)O[Au]2(OS(=O)(=O)S2)S1,,,0.56,,,,86.74,18.05,4,0
COC1=NSN=C1NS(=O)(=O)C1=CC=C(N)C=C1,1.04,-2.6,1.05,7.57e-01 g/l,5.51,1.9,107.2,26.36,6,2
COCCOC1=C(OC)C=C(CC2=C(N)N=C(N)N=C2)C=C1OC,1.14,-3.4,1.24,1.26e-01 g/l,17.33,7.16,114.74,34.88,8,2
CC1=CC(=O)[C@@H]2C[C@H]1C2(C)C,2.3,-1.6,2.24,3.84e+00 g/l,18.42,-4.7,17.07,17.35,1,0
C(CN1C2=CC=CC=C2SC2=C1C=CC=C2)N1CCCC1,4.87,-4.3,4.28,1.61e-02 g/l,,8.65,6.48,33.82,2,0
CN1CCCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,4.53,-4.2,4.21,1.88e-02 g/l,,8.63,6.48,35.21,2,0
CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,-2.3,-3.2,-3.7,1.52e-01 g/l,4.19,-7.1,66.43,22.63,3,0
[H][C@@]1(O[C@H]2[C@@H](CC=O)C[C@@H](C)[C@@H](OC(=O)CC)\C=C\C=C\C[C@@H](C)OC(=O)C[C@@H](OC(C)=O)[C@@H]2OC)O[C@H](C)[C@@]([H])(O[C@H]2C[C@@](C)(O)[C@@H](OC(=O)CC(C)C)[C@H](C)O2)[C@@H]([C@H]1O)N(C)C,3.75,-4.6,4.36,2.38e-02 g/l,12.71,8.51,212.12,95.19,13,2
NCC1=CC(=CC=C1)N1N=C(C=C1C(=O)NC1=CC(=CC=C1F)[C@H](NCC1CC1)C1=CC=CC(=C1)C#N)C(F)(F)F,4.8,-5.4,5.58,2.38e-03 g/l,13.35,9.29,108.76,55.92,5,3
CCOCC(=O)O[C@@H]1C[C@H](C)CC[C@H]1C(C)C,3.55,-3.7,3.29,4.50e-02 g/l,,-4.2,35.53,28.47,2,0
[H][C@@]12CC[C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(Cl)C(=O)CC[C@]12C,3.95,-5.1,4.2,3.09e-03 g/l,,-6.2,43.37,40.68,2,0
NCC(O)CC(O)=O,-3.4,0.58,-3.8,4.53e+02 g/l,4.1,9.6,83.55,11.35,4,3
CN1C2=C(NC(Cl)=N2)C(=O)N(C)C1=O.CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,0.84,-1.4,3.66,9.41e+00 g/l,,8.87,12.47,32.35,2,0
CN[C@@H](C)[C@H](OC(=O)CCC(C)=O)C1=CC=CC=C1,1.42,-3.1,1.91,2.07e-01 g/l,19.21,9.04,55.4,29.24,3,1
NCC(=O)N[C@@H](CCC(N)=O)C(O)=O,-3.4,-1.1,-5.1,1.74e+01 g/l,3.48,8.14,135.51,19.22,5,4
NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,-2.5,-2.1,-2.6,1.84e+00 g/l,3.4,8.12,112.65,23.06,5,4
COC1=C(O)C=CC(=C1)S(O)(=O)=O,-0.93,-1.3,0.69,1.07e+01 g/l,-2.6,-4.9,83.83,18.25,5,2
N[C@@H](CC(O)=O)C(O)=O.N[C@@H](CCCNC(N)=N)C(O)=O,-3.5,-1.9,-3.2,2.28e+00 g/l,2.41,12.41,125.22,17.93,6,5
C,-1.3,1.08,1.08,0.00e+00 g/l,,,0,2.59,0,0
O[N+]([O-])=O,,,-0.2,,,-9.9,63.37,3.6,3,1
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.83,-4.2,6.29,2.99e-02 g/l,,,0,17.74,0,0
[K+].NC(CC([O-])=O)C(O)=O,-2.8,0.48,-3.5,5.15e+02 g/l,1.7,9.61,103.45,10.99,5,2
[H][C@@]12CC[C@](O)(C(=O)COC(=O)CCCCC)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,3.91,-4.8,3.75,6.50e-03 g/l,12.61,-2.9,100.9,51.73,5,2
NC(=O)C1=C(OCC(O)=O)C=CC=C1,0.25,-2.1,0.14,1.59e+00 g/l,3.27,-0.94,89.62,18.28,4,2
[H][C@@]12CC[C@H](OC(=O)CCCCCCCCC)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,6.3,-6.6,7.62,1.14e-04 g/l,18.52,-4.8,43.37,54.86,2,0
[H][C@@]12CC[C@H](OC(=O)CCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,4.36,-5.6,5.68,9.55e-04 g/l,18.52,-4.8,43.37,46.61,2,0
[H][C@@]12CC[C@H](OC(=O)CCC3=CC=CC=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,4.61,-6.2,6.09,2.83e-04 g/l,18.52,-4.8,43.37,49.36,2,0
OC(=O)CC(C(P(O)(O)=O)P(O)(O)=O)C(O)=O,-1.3,-1.2,-2.8,1.64e+01 g/l,1.2,,189.66,20.35,10,6
CC(=O)OCC(COC(C)=O)OC(C)=O,0.4,-1.3,-0.52,1.13e+01 g/l,,-6.5,78.9,21.13,3,0
[Zn++].[NH3+]C(CC([O-])=O)C([O-])=O.[NH3+]C(CC([O-])=O)C([O-])=O,-1.5,-1.2,-3.5,1.88e+01 g/l,1.7,9.61,107.9,10.87,4,1
CN1C(=O)C=C(NCCN(CCO)CCCC2=CC=C(C=C2)[N+]([O-])=O)N(C)C1=O,1.68,-3.4,1.25,1.69e-01 g/l,15.59,8.81,119.26,43.3,7,2
CN(C)C(=O)OC1=CC(NC(=O)C2(CN)CCN(CC2)C2=C3C(C)=CNC3=NC=N2)=CC=C1,1.55,-3.8,2.13,7.61e-02 g/l,13.35,9.16,129.47,47.86,6,3
[H][C@]12CCC[C@]([H])(CN(C)C1)C2OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,3.81,-3.8,3.62,5.18e-02 g/l,11.54,9.73,49.77,40.28,3,1
CCCCN(CCCC)CCCC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=C1C=C(C=C2)C(=O)OC(C)C,7.74,-5.5,9.3,1.65e-03 g/l,,10.54,59.75,66.01,3,0
CC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(N)=O,-0.03,-4.9,-5.8,2.33e-02 g/l,,12.27,754.48,191.95,28,29
COC(=O)C1=C(C2=C(OCO2)C(OC)=C1)C1=C(CO)C=C(OC)C2=C1OCO2,1.55,-3.2,1.79,2.71e-01 g/l,15.03,-2.8,101.91,38.06,8,1
CCCCOP(O)(=O)OC[C@H]1O[C@H](C[C@@H]1OP(O)(=O)OCCCC)N1C=C(C)C(=O)NC1=O,0.29,-1.8,2.04,7.21e+00 g/l,1.6,-4.2,170.16,47.93,7,3
O=C1CCCC(=O)N1CCC1=CN=CN1,0.12,-1.4,-0.74,8.40e+00 g/l,12.94,6.75,66.06,21.34,3,1
[68Ga+3].OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)CCCCCNC(=O)CCC1=CC(CN(CCN(CC([O-])=O)CC2=C(O)C=CC(CCC([O-])=O)=C2)CC([O-])=O)=C(O)C=C1)C(O)=O)C(O)=O,1.46,-5,-3.2,1.21e-02 g/l,0.85,9.5,378.56,95.33,19,9
CCCC(=O)C1=C(OCCN(C(C)C)C(C)C)C=CC=C1,4.22,-3.5,4.08,1.01e-01 g/l,16.86,9.69,29.54,34.85,3,0
CCN1CCC[C@H]1CNC(=O)C1=CC(=CC=C1OC)S(N)(=O)=O,1.2,-2.8,0.22,5.37e-01 g/l,10.24,8.39,101.73,35.59,5,2
CN(C)CCN(CC1=CSC=C1)C1=CC=CC=N1,2.8,-2.8,2.98,3.82e-01 g/l,,8.76,19.37,29.64,3,0
[Cl-].CC1=C(CCOP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N,-1.7,-3.9,-5.9,5.07e-02 g/l,1.66,5.3,122.44,32.55,6,3
[Na+].CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=CC=C4C=CC=CC4=C3C2(C)C)N(CCCCS([O-])(=O)=O)C2=CC=C3C=CC=CC3=C12,,,6.05,,-0.94,4.85,120.65,86.08,7,0
OC(=O)[C@@H]1CCC(=O)N1.N[C@@H](CCCNC(N)=N)C(O)=O,-3.5,-1.9,-3.2,2.28e+00 g/l,2.41,12.41,125.22,18.04,6,5
[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCC(=O)OC1=CC=C(\C=C\C(=O)OCCCCO[N+]([O-])=O)C=C1OC,,,6.49,,18.3,-0.54,154.66,77.97,8,2
CCCCC\C=C/C\C=C/CCCCCCC(O)C(O)=O,6.03,-5.3,5.55,1.53e-03 g/l,4.29,-3.8,57.53,36.42,3,2
COC1=CC=CC(=C1)C(=O)COC1=CC=C(CC2SC(=O)NC2=O)C=C1,2.65,-5,2.86,4.11e-03 g/l,6.61,-4.6,81.7,37.96,5,1
CC(CCCCC[18F])(C(O)=O)C(O)=O,0.46,-1.6,2,5.78e+00 g/l,2.46,,74.6,20.02,4,2
[O-][N+](=O)C1=CC(\C=C2/CN(CC\C(=C/C3=CC(=C(F)C=C3)[N+]([O-])=O)C2=O)C(=O)C=C)=CC=C1F,3.62,-6.3,4.72,2.49e-04 g/l,,-0.24,123.66,43.44,6,0
[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC\C(=N/O)[C@](C)(CCCO)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,6.15,-6.2,6.99,2.39e-04 g/l,11.48,2.58,52.82,52.08,3,2
O\C(=C/C(=O)C1=CC=C(CC2=CC=C(F)C=C2)O1)C1=NNC=N1,2.65,-3.4,2.22,1.35e-01 g/l,4.13,0.9,92.01,30.13,4,2
CC(C)(O)C1=NC=C(N=C1)N1C[C@@]2(CCC[C@](C)(CN3C=NC4=C3C=C(C=C4)C#N)C2)OC1=O,2.57,-3.7,2.88,9.29e-02 g/l,13.72,5.16,117.16,48.62,7,1
C[C@H](OC(N)=O)[C@@H](O)C1=CC=CC=C1Cl,1.66,-1.6,1.7,5.19e+00 g/l,13.25,-3.6,72.55,21.97,2,2
OCC1=CC(OC2=CC3=CC=CC(C(=O)NC4=CC=CC(=C4)C(F)(F)F)=C3C=C2)=NC=N1,4.08,-5.2,4.42,2.46e-03 g/l,13.9,2.04,84.34,41.49,4,2
FC(F)(F)C(OC(=O)N1CCN(CC2=CC=C(C=C2N2CCCC2)C(F)(F)F)CC1)C(F)(F)F,5.09,-4.4,4.97,2.11e-02 g/l,15.01,6.37,36.02,41.21,3,0
CC1=CC(C[C@@H](OC(=O)N2CCC(CC2)N2CCC3=C(NC2=O)C=CC=C3)C(=O)N2CCC(CC2)N2CCOCC2)=CC(C)=C1O,3.08,-3.8,3.11,9.48e-02 g/l,10.22,7.42,114.89,70.13,6,2
F[C@@H]1CCN(C1)S(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CN=C(N=C2)C2CC2)=C1F,3.41,-4.5,2.44,1.71e-02 g/l,9.9,2.28,120.94,52.3,7,2
OB1OCC2=C1C=CC(OC1=CC(C#N)=C(C=C1)C#N)=C2,2.09,-4.1,3.16,2.42e-02 g/l,8.95,-3.7,86.27,27.65,4,1
ClC1=CC(N2CCN(CCCCN3C(=O)C4=C(C=CC=C4)S3(=O)=O)CC2)=C2OCCOC2=C1,2.99,-3.8,3.12,7.41e-02 g/l,,7.23,79.39,51.35,7,0
CC1=C(C)C(=O)C(CC[C@@](C)(O)C(N)=O)=C(C)C1=O,0.3,-2.9,1.37,3.40e-01 g/l,13.05,-3.7,97.46,27.9,4,2
COC1=C(C=C2CCN(C)CCC2=C1)S(=O)(=O)C1=CC=C(OCC2=CC=C(Cl)C=C2)C=C1,4.57,-6.2,5.21,2.89e-04 g/l,,7.59,55.84,50.64,5,0
OC(=O)C1=CC=C2N=C(CN3CCC(CC3)C3=NC(OCC4=CC=C(C=C4F)C#N)=CC=C3)N(C[C@@H]3CCO3)C2=C1,4.27,-4.4,1.74,2.12e-02 g/l,3.58,7.08,113.5,59.23,8,1
CC1=NC2=C(C=CC=C2N1S(=O)(=O)C1=CC=CC=C1)N1CCNCC1,1.73,-3,1.88,3.53e-01 g/l,,8.8,67.23,37.64,5,1
CN1C=C(C(O)=O)C2=C1C=C(C=C2)N1CCC(CC1)OCC1=C(ON=C1C1=C(Cl)C=CC=C1Cl)C1CC1,6.42,-4.6,4.89,1.54e-02 g/l,3.41,4.41,80.73,55.81,5,1
CC1=NN(CCC(O)=O)C(C)=C1CC1=CC(C)=C(O)C2=C1CCC2,3.03,-4.1,3.28,2.66e-02 g/l,4.38,3.49,75.35,36.9,4,2
CN1C=C(C2=C1C=C1OCOC1=C2)C1=C(C(=O)NC1=O)C1=COC2=CC=C(F)C=C12,3.57,-4.1,2.95,3.52e-02 g/l,9.86,-3,82.7,39.41,4,1
CC1=NN(C=C1CN1CCC2(CC1)OCC(F)(F)C1=C2SC(Cl)=C1)C1=NC=CC=C1CO,3.29,-4.4,3.49,1.72e-02 g/l,14.92,7.97,63.41,48.13,5,1
COC1=CC(=CC=C1)C1=CC(F)=C(NC2=C(C=CC=N2)C(O)=O)C(F)=C1,4.53,-5,5.02,3.52e-03 g/l,1.55,3.95,71.45,34.62,5,2
CCCNC1=NC(NC2=CC=C(C=C2)C#N)=NC=C1C#CCCCNC(=O)[C@H](C)N(C)C(=O)\C=C\CN(C)C,3.81,-4.1,3.38,4.39e-02 g/l,11.9,8.81,126.28,61.08,8,3
C[C@H](NC(=O)C(=C\C=C\C1=CC=CC(Br)=N1)\C#N)C1=CC=CC=C1,4.18,-5.2,4.02,2.49e-03 g/l,12.4,1.08,65.78,36.29,3,1
[H][C@@](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@]1([H])O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]1O)([C@H](O)CO)[C@H](O)[C@@H](O)C=O,-2.5,-0.31,-6.1,2.40e+02 g/l,11.9,-3.5,256.29,44.74,15,10
COC1=CC(Cl)=CC=C1CCNC(=O)C1=CC=C(OC2=CC3=C(C=C2Cl)[C@H](CCO3)C(O)=O)C=C1,5.21,-6.2,5.16,3.20e-04 g/l,3.26,-0.75,94.09,52.21,5,2
CN1C=C(C2=C(NC=C2)C1=O)C1=C2OC(C)(C)C(=O)N(C)C2=CC(=C1)S(C)(=O)=O,1.73,-3.4,0.47,1.70e-01 g/l,12.54,-4.9,99.78,42.45,5,1
CS(=O)(=O)C1=C2[C@H](O)C(F)(F)CC2=C(OC2=CC(=CC(F)=C2)C#N)C=C1,2.72,-4.2,2.12,2.39e-02 g/l,11.49,-3.7,87.39,33.39,4,1
COC1=CC=C(COC2=CC=C(CN3C(N)=NC4=C3N=CC(=C4)C3=CN(C)N=C3)C=C2OC)C=C1,4.32,-4.2,3.54,2.75e-02 g/l,,4.11,102.24,51.5,7,1
C[C@@H](OP(=O)(N1CC1)N1CC1)C1=CC(OC2=CC(=CC=C2)C(=O)N(C)C)=C(C=C1)[N+]([O-])=O,2.36,-3.5,1.64,1.41e-01 g/l,,-1.1,105,44.35,4,0
CN1N=CC2=C1C=CC(=C2)C1=C(OC2CC3=C(C2)C=CC=C3)C(N)=CC(CCC(O)=O)=C1,4.81,-5.4,3.65,1.83e-03 g/l,3.65,4.8,90.37,46.33,5,2
CC1(N)CCN(CC1)C1=CC=CN=C1NC(=O)C1=C(N)N=CC(=N1)C1=C(C=CC=N1)C(F)(F)F,2.15,-4,2.49,5.19e-02 g/l,13.23,10.27,135.94,45.86,8,3
OC[C@@H](O)C1=CN=C(C(Cl)=C1)C1=CCN(CC1)C(=O)NC1=CC=C(C=N1)C(F)(F)F,2.41,-3.8,2.11,7.06e-02 g/l,11.74,2.98,98.58,40.71,5,3
CC(C)C1=C2N=C(NC[C@H]3CCNC[C@@H]3O)C=C(NCC3=CC=CC=C3)N2N=C1,2.86,-4.4,2.32,1.41e-02 g/l,14.55,9.73,86.51,45.77,6,4
CNC1=NC2=C(C=C(Cl)C=C2)C(=NC1)C1=CC=CN1,2.37,-3.5,2.37,8.47e-02 g/l,15.47,6.86,52.54,28.71,3,2
O=C1NN=C2NC(CN3CC4=C(C3)C=CC=C4)=NC3=C2C1=CC=C3,1.56,-3,1.68,2.84e-01 g/l,9.47,5.14,69.09,33.45,5,2
CC(C)(O)C1=CC(NC2=CC(OC3=CN(N=C3C3CCOCC3)C3CC3)=CC=N2)=CC=N1,4.46,-4.3,2.83,2.30e-02 g/l,13.92,6.33,94.32,47.88,6,2
CC1(C)N(C(=S)N(C1=O)C1=C(F)C(=C(C=C1)C#N)C(F)(F)F)C1=CN=C(CCCC2=NC=CO2)C=C1,4.65,-4.1,4.53,3.79e-02 g/l,,4.73,86.26,48.98,4,0
CC1=CC(NS(=O)(=O)C2=CC=C(Cl)C(=C2)C(F)(F)F)=C(N=C1)C(=O)C1=C2C=CNC2=NC=N1,3.61,-4.9,4.01,5.64e-03 g/l,6.61,2.19,117.7,44.57,6,2
OC1=CC(CCC2=CC=C(C=C2)C(F)(F)F)=NNC1=O,2.41,-3.8,2.61,4.25e-02 g/l,7.89,-3.2,61.69,25.12,3,2
CCC1=CC(F)=C2N=C(N3CCC(CC3)NC3CCOCC3)C(C3=NC(C)=NO3)=C(C)C2=C1,4.09,-3.7,4.45,8.88e-02 g/l,,10.45,76.31,50.79,6,1
COCCOCCOC1=CC(O)=C(C=C1)C1=N[C@](C)(CS1)C(O)=O,1.95,-3.3,2.55,1.72e-01 g/l,3.08,0.53,97.58,37.54,7,2
COC1=CC=C(C=C1)[C@@H](O)[C@H](NC(=O)[C@H](C)NC(=O)CN1CCOCC1)C(=O)N[C@@H](CC1=CCCC1)C(=O)[C@@]1(C)CO1,1.11,-3.1,0.32,4.49e-01 g/l,11.62,5.04,158.83,60.56,9,4
NC1=NC(=O)N(C=C1)[C@@H]1S[C@H](CO)[C@@H](O)[C@@H]1F,-1.2,-1.4,-1.6,9.18e+00 g/l,13.2,4.21,99.15,23.86,5,3
[H][C@@]12OC3=C4C(C[C@H]5N(CC6CC6)CC[C@@]14[C@@]51CC[C@@]2(OC)[C@]([H])(C1)[C@](C)(O)C(C)(C)C)=CC=C3OCCOC1=CC=C2C[C@H]3N(CC4CC4)CC[C@]45C2=C1O[C@@]4([H])[C@]1(CC[C@@]35C[C@]1([H])[C@](C)(O)C(C)(C)C)OC,7,-6.8,8.18,1.59e-04 g/l,14,10.16,102.32,111.69,10,2
CC1=CC(=CC2=C1C(=O)N(CC1=CC=C(OC(F)(F)F)C=C1)C2)C1=NC(CN2CCNCC2)=NO1,3.3,-3.7,4.48,1.07e-01 g/l,13.62,9.21,83.73,48.92,6,1
CN1CCN(CC1)C1=C2N=C(N(C3CCOCC3)C2=NC(C)=N1)C1=CC=CC=C1Cl,3.15,-3.5,3.66,1.38e-01 g/l,,7.49,59.31,47.1,6,0
NC1=NC=NC2=C1N=C(Cl)N2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.39,-1.5,-1.2,9.61e+00 g/l,12.45,2.78,139.54,27.1,8,4
CCC[C@H](C)OC1=NC(N)=C2NC(=O)N(CCCCCN3CCCCC3)C2=N1,3.46,-3.7,3.78,7.85e-02 g/l,12.34,9.94,96.61,45.31,6,2
CNCC1=CN(C(=C1OC)C1=C(F)C=C(F)C=C1)S(=O)(=O)C1=CC(F)=CC=C1,2.82,-4.6,3.38,9.97e-03 g/l,,8.32,60.33,37.88,4,1
[H][C@@]1([C@H](OC)[C@@H](CC[C@]11CO1)OC(=O)N1CC(CCN2CCOCC2)C1)[C@@]1(C)O[C@@H]1CC=C(C)C,2.48,-3.5,2.03,1.52e-01 g/l,,7.57,76.3,54.23,6,0
